,Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,,
[28395,610.291,208.1781167,173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,0.958027126,0.913357755,0.007331506,0.003147289,0.834222388],
[28734,638.018,200.5247957,182.7344194,1.097356461,0.411785251,29172,191.2727505,0.783968133,0.887033637,0.953860842,0.006978659,0.003563624,0.909850506],
[29380,624.11,212.8261299,175.9311426,1.209712656,0.562727317,29690,193.4109041,0.778113248,0.947849473,0.908774239,0.007243912,0.003047733,0.825870617],
[30008,645.884,210.557999,182.5165157,1.153638059,0.498615976,30724,195.4670618,0.782681273,0.903936374,0.928328835,0.007016729,0.003214562,0.861794425],
[30140,620.134,201.8478822,190.2792788,1.06079802,0.333679658,30417,195.896503,0.773098035,0.984877069,0.970515523,0.00669701,0.003664972,0.941900381],
[30279,634.927,212.5605564,181.5101816,1.171066849,0.52040066,30600,196.3477022,0.775688485,0.943851783,0.923725952,0.007020065,0.003152779,0.853269634],
[30477,670.033,211.0501553,184.0390501,1.146768336,0.489477894,30970,196.9886332,0.762401501,0.853079869,0.933373552,0.006924899,0.003242016,0.871186188],
[30519,629.727,212.9967551,182.7372038,1.165590535,0.513759558,30847,197.1243203,0.770681818,0.967109244,0.925480392,0.006979152,0.003158285,0.856513956],
[30685,635.681,213.5341452,183.1571463,1.165852108,0.51408086,31044,197.659696,0.771561479,0.954239808,0.925658498,0.00695891,0.00315155,0.856843654],
[30834,631.934,217.2278128,180.8974686,1.2008339,0.553642225,31120,198.1390121,0.783682806,0.97027823,0.91212543,0.007045074,0.00300804,0.8319728],
[30917,640.765,213.5600894,184.4398709,1.157884618,0.504102365,31280,198.4055115,0.770805285,0.94625818,0.929038343,0.006907529,0.00317422,0.863112242],
[31091,638.558,210.4862549,188.3268476,1.117664622,0.446621924,31458,198.9630385,0.786377317,0.958172836,0.945254305,0.006770006,0.003333984,0.8935057],
[31107,640.594,214.6485485,184.9692526,1.160455295,0.507365875,31423,199.0142269,0.761046142,0.952581757,0.927163162,0.006900329,0.003145388,0.859631529],
[31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,0.948119004,0.92005198,0.00694797,0.003071052,0.846495646],
[31158,641.105,212.0669751,187.1929601,1.132879009,0.469924157,31474,199.1773023,0.781313473,0.952623101,0.939218858,0.006806181,0.00326701,0.882132064],
[31178,636.888,212.9759252,186.5620882,1.141582018,0.482352224,31520,199.2412169,0.764110482,0.965899596,0.935510513,0.006830968,0.003227429,0.875179919],
[31202,644.454,215.6406947,184.4716842,1.168963657,0.517871223,31573,199.3178875,0.779192888,0.944079243,0.924305534,0.006911118,0.003111647,0.85434072],
[31203,639.782,215.067737,184.8748759,1.163315112,0.510946829,31558,199.3210815,0.762984155,0.957948542,0.926782809,0.006892534,0.003136682,0.858926376],
[31272,638.666,212.4503189,187.535939,1.132851229,0.469883494,31593,199.5413417,0.770322199,0.963425036,0.939237666,0.006793627,0.003261246,0.882167393],
[31335,635.011,216.7900923,184.1634403,1.177161395,0.52758671,31599,199.7422367,0.774277242,0.976510834,0.921362386,0.006918465,0.003075469,0.848908647],
[31374,636.401,219.865394,182.0088637,1.207992784,0.56099452,31604,199.8664991,0.769196823,0.973459862,0.909040279,0.007007885,0.002951884,0.826354229],
[31530,638.857,213.7856543,188.0664823,1.136755746,0.475535642,31791,200.3627781,0.768949371,0.970792739,0.937213391,0.006780389,0.003226921,0.878368941],
[31573,674.103,217.3070261,185.4482507,1.171793345,0.52126839,32197,200.499357,0.756964757,0.873118507,0.922654737,0.006882685,0.003076767,0.851291764],
[31637,656.711,229.7192546,175.510446,1.308863717,0.645190802,32045,200.702465,0.761823348,0.921842182,0.873685862,0.007261095,0.002609775,0.763326986],
[31675,657.431,236.7526321,171.2105592,1.3828156,0.690678219,32009,200.8229633,0.740935673,0.92092896,0.848239622,0.007474432,0.002386889,0.719510457],
[31682,646.721,210.0456816,192.2484159,1.092574316,0.402841974,32026,200.8451524,0.773184303,0.951893863,0.956197485,0.006629811,0.003418781,0.91431363],
[31703,656.305,215.7089067,187.2724497,1.151845384,0.496263281,32093,200.9117052,0.777110501,0.92490856,0.931401991,0.006804053,0.003158611,0.867509669],
[31748,641.826,219.7765183,184.1151053,1.193690859,0.546072628,32020,201.0542441,0.775589974,0.968482156,0.914812218,0.006922531,0.002990698,0.836881394],
[31768,650.954,220.9594949,183.2920681,1.205504947,0.558465259,32173,201.1175623,0.777674419,0.94210463,0.910201041,0.006955411,0.002944773,0.828465935],
[31811,642.092,223.9846829,180.9171228,1.238051321,0.589564969,32052,201.2536289,0.773877293,0.969600136,0.898515141,0.007041108,0.002830886,0.807329459],
[31821,649.681,213.7356452,189.9692019,1.125106823,0.458286561,32168,201.2852592,0.772354369,0.947378132,0.941748668,0.006716811,0.003258989,0.886890554],
